Device ID	Device Name
00008110-001A1D090181401E	Aom
00008110-001E6D51019A201E	Aom 14 Plus
00008110-000264202632801E	AOM_QA_IP_13_PRO_MAX
00008120-001C4DEE01E3C01E	Bike
00008110-000829920C09801E	chanaporn's iphone
00008103-001C282136DB001E	ChocPadPro
00008140-001471201E3B001C	ChocPhoneX6
00008130-00163D062003401C	ChocX5
00008103-001E59A80EC3001E	Clement’s MacBook Air
00008030-001251400EE8802E	Domino
fd4cb6e4a2b2aed0a9ccd89f593d22eda5162b1d	Domino’s iPhone
00008030-001938520E7A402E	Git checkout
00008130-0011042A2403401C	Git checkout
00008101-00016D8936D8001E	iPad (2)
f5233ffeb6294fed80cdad8a4bb2be55395fd9b8	iPadNut
00008120-001A31A914FBC01E	iPhone
9ab4454588119d6bc125da308df53bc53b09f0d3	iPhone
00008120-001C75543A63C01E	iPhone
00008130-001615220189001C	iPhone ของ Jittaranan
00008120-0016696A02C2601E	Kxwsaranyu
ff2d2358198ad33f01b8b00ff32ff820067bdc17	KxwSaranyu☔️
00008030-000155010242802E	Mac's iPhone
00006001-001849440123401E	Maytat Mac Studio
00008030-001E50141403802E	Maytat’s iPhone
00008101-0012509E366B001E	Maytat’s iPhone
00008120-000A0DD92281A01E	PAT_QA_IPHONE15
00008101-000D65E826F9001E	Piyawat’s iPad Air
00008110-000A316C217A201E	Pong
00008030-0004710A3CC3C02E	Profaze 🤍
00008130-000A2D9C38EB8D3A	PSRN 🐣
00008112-0000491A228B401E	Pumiphat’s MacBook Pro
00008120-0001392A217BC01E	PUNKAZE
00008112-0009488A0C88C01E	Saranyu’s MacBook Pro
00008130-000E40C838E1401C	Thannara
00006000-001669E42223801E	zimpligitalNJ’s MacBook Pro
00008110-000415AC02F8401E	ZimpTest_iPhone13
00008101-000A41213622001E	แลคโตแลคโต
